Year,Quarter,Month,Country,StateOrProvince,Revenue,Quantity
2000,2,4,US,NC,15,2
2000,2,5,US,CA,36.18,2
2000,2,5,US,FL,29.99,1
2000,2,5,US,LA,15,2
2000,2,5,US,NY,15,2
2000,2,5,US,SC,15,2
2000,2,5,US,TX,10,2
2000,2,5,US,WA,10,2
2000,2,6,US,CA,10,2
2000,2,6,US,FL,57.96,3
2000,2,6,US,GA,15,3
2000,2,6,US,IN,15,2
2000,2,6,US,MT,15,2
2000,2,6,US,NY,15,2
2000,2,6,US,PA,15,2
2000,2,6,US,WI,20,2
2000,2,6,US,WY,20,2
2000,3,7,US,CA,15,2
2000,3,7,US,IL,15,3
2000,3,7,US,MS,25,3
2000,3,7,US,NJ,15,2
2000,3,7,US,NY,20,2
2000,3,7,US,OH,38.98,4
2000,3,7,US,OK,15,2
2000,3,7,US,TN,20,3
2000,3,7,US,TX,81.92,5
2000,3,7,US,WA,10,2
2000,3,7,US,WI,20,2
2000,3,8,US,CA,25,4
2000,3,8,US,IN,29.99,3
2000,3,8,US,LA,39.98,2
2000,3,8,US,MI,20,2
2000,3,8,US,MN,20.98,2
2000,3,8,US,MO,26.97,2
2000,3,8,US,NC,15,2
2000,3,8,US,NJ,15,2
2000,3,8,US,NY,15,2
2000,3,8,US,OH,30,4
2000,3,8,US,TX,15,2
2000,3,8,US,VA,44.97,3
2000,3,8,US,WA,10,2
2000,3,9,US,AZ,20,2
2000,3,9,US,CA,15,2
2000,3,9,US,GA,15,2
2000,3,9,US,LA,10,2
2000,3,9,US,MS,25,3
2000,3,9,US,NC,15,2
2000,3,9,US,NE,10,2
2000,3,9,US,NJ,50,6
2000,3,9,US,NY,25,4
2000,3,9,US,OH,15,2
2000,3,9,US,OR,10,2
2000,3,9,US,PA,25,3
2000,3,9,US,VT,26.98,2
2000,3,9,US,WA,10,2
2000,3,9,US,WI,10,2
2000,4,10,US,CA,50,8
2000,4,10,US,FL,76.95,6
2000,4,10,US,GA,46.75,4
2000,4,10,US,IA,10,2
2000,4,10,US,ID,15,2
2000,4,10,US,IL,15,2
2000,4,10,US,MA,20,2
2000,4,10,US,MD,17.99,1
2000,4,10,US,MN,30,3
2000,4,10,US,MO,51.93,3
2000,4,10,US,NC,40,7
2000,4,10,US,NY,30,4
2000,4,10,US,PA,25,4
2000,4,10,US,RI,10,1
2000,4,10,US,SC,40,6
2000,4,10,US,TX,25,4
2000,4,10,US,VA,34.97,2
2000,4,11,US,AR,15,2
2000,4,11,US,AZ,93.95,2
2000,4,11,US,CA,10,2
2000,4,11,US,FL,15,3
2000,4,11,US,HI,20,3
2000,4,11,US,IA,15,2
2000,4,11,US,IL,10,1
2000,4,11,US,KS,10,2
2000,4,11,US,MA,25,4
2000,4,11,US,MD,53.97,6
2000,4,11,US,MI,5,1
2000,4,11,US,MO,10,2
2000,4,11,US,NC,45,6
2000,4,11,US,NH,10,2
2000,4,11,US,NJ,35,5
2000,4,11,US,NY,41.76,6
2000,4,11,US,OH,25,3
2000,4,11,US,OK,8.99,1
2000,4,11,US,PA,20,4
2000,4,11,US,TN,25,4
2000,4,11,US,TX,61.97,6
2000,4,11,US,VA,40,5
2000,4,11,US,WI,15,2
2000,4,12,US,CA,25,4
2000,4,12,US,FL,26.75,4
2000,4,12,US,GA,20,2
2000,4,12,US,IL,83.99,7
2000,4,12,US,IN,10,2
2000,4,12,US,MA,35,6
2000,4,12,US,MD,5,1
2000,4,12,US,ME,10,2
2000,4,12,US,MI,25.18,2
2000,4,12,US,NC,5,1
2000,4,12,US,NJ,55,8
2000,4,12,US,NV,23.98,2
2000,4,12,US,NY,35,6
2000,4,12,US,OH,116.84,12
2000,4,12,US,OR,15,2
2000,4,12,US,PA,10,2
2000,4,12,US,SC,10,2
2000,4,12,US,TN,25,4
2000,4,12,US,TX,60,9
2000,4,12,US,UT,10,2
2000,4,12,US,WA,25,5
2000,4,12,US,WV,10,2
2001,1,1,US,AL,15,2
2001,1,1,US,AR,15,2
2001,1,1,US,CA,106.94,11
2001,1,1,US,CO,10,2
2001,1,1,US,FL,90.76,12
2001,1,1,US,GA,68.94,6
2001,1,1,US,ID,23.96,2
2001,1,1,US,IL,10,2
2001,1,1,US,KS,10,2
2001,1,1,US,KY,29.99,1
2001,1,1,US,LA,15,2
2001,1,1,US,MA,5,1
2001,1,1,US,MD,10,2
2001,1,1,US,MI,118.95,10
2001,1,1,US,MS,45,8
2001,1,1,US,NC,25,3
2001,1,1,US,NE,33.97,2
2001,1,1,US,NJ,35,6
2001,1,1,US,NM,15,2
2001,1,1,US,NY,84.94,10
2001,1,1,US,OH,28.18,2
2001,1,1,US,OK,20,2
2001,1,1,US,OR,20,3
2001,1,1,US,PA,48.98,6
2001,1,1,US,TX,35,6
2001,1,1,US,VA,10,2
2001,1,1,US,VT,20,3
2001,1,1,US,WA,104.9,6
2001,1,1,US,WV,30,5
2001,1,2,US,AK,15,2
2001,1,2,US,AL,35,5
2001,1,2,US,AR,25,4
2001,1,2,US,AZ,33.97,2
2001,1,2,US,CA,69.97,7
2001,1,2,US,CO,15,2
2001,1,2,US,CT,15,2
2001,1,2,US,FL,40,6
2001,1,2,US,GA,69.95,8
2001,1,2,US,HI,17.99,1
2001,1,2,US,IL,15,2
2001,1,2,US,IN,40,6
2001,1,2,US,KY,30.97,4
2001,1,2,US,MD,45,6
2001,1,2,US,MI,15,2
2001,1,2,US,MN,17.99,1
2001,1,2,US,MO,45,6
2001,1,2,US,NC,24.99,3
2001,1,2,US,NE,10,2
2001,1,2,US,NH,15,3
2001,1,2,US,NJ,79.94,8
2001,1,2,US,NV,10,2
2001,1,2,US,NY,59.98,6
2001,1,2,US,OH,39.98,2
2001,1,2,US,OR,29.98,2
2001,1,2,US,PA,55,10
2001,1,2,US,SD,20,2
2001,1,2,US,TX,99.94,12
2001,1,2,US,VA,45,7
2001,1,2,US,WI,56.98,6
2001,1,3,US,AL,50,6
2001,1,3,US,AR,30,4
2001,1,3,US,AZ,45.78,4
2001,1,3,US,CA,60,8
2001,1,3,US,CO,47.98,4
2001,1,3,US,CT,25,4
2001,1,3,US,DE,10,2
2001,1,3,US,FL,35,6
2001,1,3,US,GA,65,9
2001,1,3,US,IA,10,2
2001,1,3,US,IN,25,4
2001,1,3,US,KS,40,5
2001,1,3,US,KY,59.97,5
2001,1,3,US,LA,15,2
2001,1,3,US,MA,10,2
2001,1,3,US,MD,45,8
2001,1,3,US,MI,105.96,11
2001,1,3,US,MN,54.96,2
2001,1,3,US,MO,15,2
2001,1,3,US,MS,10,2
2001,1,3,US,NC,174.86,9
2001,1,3,US,NE,25,4
2001,1,3,US,NJ,101.94,5
2001,1,3,US,NY,85,12
2001,1,3,US,OH,10,2
2001,1,3,US,OK,39.97,2
2001,1,3,US,OR,25,4
2001,1,3,US,PA,35,6
2001,1,3,US,RI,10,2
2001,1,3,US,TN,89.95,5
2001,1,3,US,TX,84.97,9
2001,1,3,US,VA,40,6
2001,1,3,US,VT,15,3
2001,1,3,US,WA,45,6
2001,1,3,US,WI,25,5
2001,2,4,US,AL,45,7
2001,2,4,US,AZ,93.95,11
2001,2,4,US,CA,192.98,12
2001,2,4,US,CO,20,4
2001,2,4,US,CT,15,2
2001,2,4,US,FL,140,18
2001,2,4,US,GA,45,6
2001,2,4,US,ID,25,4
2001,2,4,US,IL,40,8
2001,2,4,US,IN,35,5
2001,2,4,US,KS,10,2
2001,2,4,US,KY,35,4
2001,2,4,US,LA,25,4
2001,2,4,US,MA,10,2
2001,2,4,US,MD,35,6
2001,2,4,US,MI,61.96,4
2001,2,4,US,MN,10,2
2001,2,4,US,MO,56.98,8
2001,2,4,US,NE,58.98,4
2001,2,4,US,NJ,60,10
2001,2,4,US,NV,10,2
2001,2,4,US,NY,77.71,8
2001,2,4,US,OH,45,6
2001,2,4,US,OK,5,1
2001,2,4,US,SC,35,5
2001,2,4,US,TN,20,3
2001,2,4,US,TX,145,20
2001,2,4,US,UT,15,2
2001,2,4,US,VA,30,4
2001,2,4,US,WA,30,5
2001,2,4,US,WI,10,1
2001,2,4,US,WY,35.98,4
2001,2,5,US,AL,10,2
2001,2,5,US,AR,35,5
2001,2,5,US,CA,131.98,20
2001,2,5,US,CO,23.98,2
2001,2,5,US,CT,15,2
2001,2,5,US,DE,20,2
2001,2,5,US,FL,51.96,5
2001,2,5,US,GA,114.97,5
2001,2,5,US,IA,30,6
2001,2,5,US,IL,240.82,19
2001,2,5,US,KS,40,6
2001,2,5,US,KY,50,8
2001,2,5,US,MA,64.94,2
2001,2,5,US,MD,30,4
2001,2,5,US,MI,40,6
2001,2,5,US,MO,20,3
2001,2,5,US,MS,25,4
2001,2,5,US,NC,15,2
2001,2,5,US,ND,30,4
2001,2,5,US,NE,63.94,4
2001,2,5,US,NJ,55,7
2001,2,5,US,NV,20,2
2001,2,5,US,NY,173.94,22
2001,2,5,US,OH,35,5
2001,2,5,US,PA,65.58,6
2001,2,5,US,SC,25,4
2001,2,5,US,TN,10,1
2001,2,5,US,TX,236.97,22
2001,2,5,US,VA,40,6
2001,2,5,US,VT,15,2
2001,2,5,US,WA,15,2
2001,2,5,US,WI,106.88,8
2001,2,5,US,WV,10,2
2001,2,6,US,AL,40,5
2001,2,6,US,AR,30,4
2001,2,6,US,CA,238.84,23
2001,2,6,US,CO,10,2
2001,2,6,US,DC,10,1
2001,2,6,US,DE,10,2
2001,2,6,US,FL,15,2
2001,2,6,US,GA,15,2
2001,2,6,US,HI,20,2
2001,2,6,US,IA,29.98,2
2001,2,6,US,IL,60,9
2001,2,6,US,IN,35,4
2001,2,6,US,KS,25,4
2001,2,6,US,KY,10,2
2001,2,6,US,LA,35,5
2001,2,6,US,MA,52.98,7
2001,2,6,US,MD,46.98,4
2001,2,6,US,ME,15,2
2001,2,6,US,MI,124.97,9
2001,2,6,US,MN,15,2
2001,2,6,US,MO,35,5
2001,2,6,US,MS,47.94,4
2001,2,6,US,MT,25,3
2001,2,6,US,NC,50,6
2001,2,6,US,NH,20,2
2001,2,6,US,NJ,98.91,11
2001,2,6,US,NY,114.97,11
2001,2,6,US,OH,135.87,14
2001,2,6,US,OK,25,4
2001,2,6,US,OR,15,2
2001,2,6,US,PA,40,7
2001,2,6,US,TN,70,9
2001,2,6,US,TX,50,9
2001,2,6,US,VA,15,3
2001,2,6,US,VT,25,3
2001,2,6,US,WA,38.98,4
2001,2,6,US,WI,40,6
2001,2,6,US,WV,48.95,4
2001,3,7,US,AK,20,2
2001,3,7,US,AL,15,3
2001,3,7,US,AR,30,4
2001,3,7,US,AZ,10,2
2001,3,7,US,CA,153.96,21
2001,3,7,US,CT,50,6
2001,3,7,US,FL,126.94,15
2001,3,7,US,GA,95.98,13
2001,3,7,US,HI,10,2
2001,3,7,US,IA,35.97,2
2001,3,7,US,ID,20,2
2001,3,7,US,IL,60,8
2001,3,7,US,IN,35,6
2001,3,7,US,KS,48.98,7
2001,3,7,US,KY,34.97,2
2001,3,7,US,LA,35,6
2001,3,7,US,MA,81.74,8
2001,3,7,US,MD,59.98,7
2001,3,7,US,MI,100.36,13
2001,3,7,US,MO,113.74,8
2001,3,7,US,MS,20,3
2001,3,7,US,MT,15,2
2001,3,7,US,NC,75,10
2001,3,7,US,ND,15,2
2001,3,7,US,NE,34.77,2
2001,3,7,US,NJ,117.89,13
2001,3,7,US,NY,187.9,19
2001,3,7,US,OH,15,2
2001,3,7,US,OK,55,6
2001,3,7,US,PA,115,15
2001,3,7,US,TN,30,4
2001,3,7,US,TX,176,15
2001,3,7,US,UT,15,2
2001,3,7,US,VA,10,2
2001,3,7,US,WA,94.96,5
2001,3,7,US,WI,40,6
2001,3,8,US,AL,65,10
2001,3,8,US,AZ,84.92,5
2001,3,8,US,CA,358.04,35
2001,3,8,US,CO,52.97,4
2001,3,8,US,CT,35,6
2001,3,8,US,DE,15,2
2001,3,8,US,FL,164.75,21
2001,3,8,US,IA,10,2
2001,3,8,US,IL,40,5
2001,3,8,US,IN,35,6
2001,3,8,US,KS,10,2
2001,3,8,US,KY,64.97,6
